gene	isoname	is_basic
TAS1R1	TAS1R1-201	1
TAS1R1	TAS1R1-202	1
TAS1R1	TAS1R1-203	0
TAS1R1	TAS1R1-204	0
ZBTB48	ZBTB48-202	1
ZBTB48	ZBTB48-201	0
ZBTB48	ZBTB48-203	0
ZBTB48	ZBTB48-207	0
KLHL21	KLHL21-201	1
KLHL21	KLHL21-202	1
KLHL21	KLHL21-204	1
KLHL21	KLHL21-206	1
KLHL21	KLHL21-205	0
KLHL21	KLHL21-203	1
PHF13	PHF13-201	1
THAP3	THAP3-201	1
THAP3	THAP3-202	1
THAP3	THAP3-203	1
THAP3	THAP3-204	0
DNAJC11	DNAJC11-204	0
DNAJC11	DNAJC11-202	1
DNAJC11	DNAJC11-201	1
DNAJC11	DNAJC11-203	0
CAMTA1	CAMTA1-201	1
CAMTA1	CAMTA1-208	1
CAMTA1	CAMTA1-216	1
CAMTA1	CAMTA1-205	1
CAMTA1	CAMTA1-215	0
CAMTA1	CAMTA1-214	0
CAMTA1	CAMTA1-210	1
VAMP3	VAMP3-201	1
VAMP3	VAMP3-202	1
PER3	PER3-203	1
PER3	PER3-209	1
PER3	PER3-208	1
PER3	PER3-202	1
PER3	PER3-201	1
UTS2	UTS2-203	1
UTS2	UTS2-202	1
UTS2	UTS2-201	1
TNFRSF9	TNFRSF9-201	1
TNFRSF9	TNFRSF9-204	1
TNFRSF9	TNFRSF9-202	0
TNFRSF9	TNFRSF9-205	0
PARK7	PARK7-208	0
PARK7	PARK7-209	1
PARK7	PARK7-204	1
PARK7	PARK7-201	1
PARK7	PARK7-203	1
PARK7	PARK7-202	1
PARK7	PARK7-207	0
ERRFI1	ERRFI1-204	1
ERRFI1	ERRFI1-201	1
ERRFI1	ERRFI1-202	1
ERRFI1	ERRFI1-203	1
SLC45A1	SLC45A1-202	1
SLC45A1	SLC45A1-201	1
RERE	RERE-201	1
RERE	RERE-204	1
RERE	RERE-202	1
RERE	RERE-203	1
RERE	RERE-212	1
RERE	RERE-216	0
RERE	RERE-219	0
RERE	RERE-214	0
RERE	RERE-207	0
RERE	RERE-220	1
RERE	RERE-218	0
RERE	RERE-210	0
ENO1	ENO1-201	1
ENO1	ENO1-216	1
ENO1	ENO1-207	0
ENO1	ENO1-213	0
ENO1	ENO1-215	0
ENO1	ENO1-211	0
ENO1	ENO1-208	0
ENO1	ENO1-205	0
CA6	CA6-206	0
CA6	CA6-203	1
CA6	CA6-205	1
CA6	CA6-201	1
CA6	CA6-202	1
SLC2A7	SLC2A7-201	1
SLC2A5	SLC2A5-202	1
SLC2A5	SLC2A5-201	1
SLC2A5	SLC2A5-207	0
SLC2A5	SLC2A5-205	0
SLC2A5	SLC2A5-206	0
SLC2A5	SLC2A5-208	0
SLC2A5	SLC2A5-210	0
SLC2A5	SLC2A5-203	0
SLC2A5	SLC2A5-204	0
GPR157	GPR157-201	1
GPR157	GPR157-202	0
H6PD	H6PD-201	1
H6PD	H6PD-203	1
SPSB1	SPSB1-201	1
SPSB1	SPSB1-204	0
SPSB1	SPSB1-202	1
SPSB1	SPSB1-203	1
SLC25A33	SLC25A33-201	1
TMEM201	TMEM201-202	1
TMEM201	TMEM201-201	1
TMEM201	TMEM201-203	0
PIK3CD	PIK3CD-202	1
PIK3CD	PIK3CD-208	1
PIK3CD	PIK3CD-206	1
PIK3CD	PIK3CD-207	1
PIK3CD	PIK3CD-201	1
CLSTN1	CLSTN1-202	1
CLSTN1	CLSTN1-203	0
CLSTN1	CLSTN1-201	1
CTNNBIP1	CTNNBIP1-203	1
